Year,Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
2019,Bryan Cox Jr.,25,CLE,DE,6,2,0,1,1,100,-7,-7,-7,0,79.2,-6,-6,-1,4,3,4,0,0.5,8,12,4,25,
2019,Nathan Shepherd,26,NYJ,DT,9,0,0,1,1,100,1,1,1,0,79.2,-1,-1,2,0,0,4,0,2,6,11,0,0,
2019,Akiem Hicks,30,CHI,LDE,5,5,0,0,0,,0,,,0,,,0,0,0,4,4,0,1,9,10,1,9.1,
2019,Jihad Ward,25,2TM,DE,14,0,0,1,1,100,38,38,38,0,118.7,7,7,31,8,1,4,1,1,6,7,1,12.5,
2019,Kemoko Turay,24,IND,LB,4,0,0,0,0,,0,,,0,,,0,0,1,1,4,0,1.5,7,5,0,0,
2019,Luke Kuechly,28,CAR,RILB,16,16,2,68,46,67.6,395,8.6,5.8,1,75.3,5.9,201,194,25,2,3,0,0,5,144,10,6.5,"PB,AP-2"
2019,Jerome Baker,23,MIA,ROLB/RILB,16,15,1,49,37,75.5,402,10.9,8.2,1,97.5,6.1,173,229,75,3,3,0,1.5,8,126,6,4.5,
2019,Nick Vigil,26,CIN,LLB,16,16,1,56,38,67.9,292,7.7,5.2,0,72.9,3,61,231,60,2,3,1,1,6,111,21,15.9,
2019,Deion Jones,25,ATL,MLB/RLB,16,16,1,65,38,58.5,427,11.2,6.6,4,92.3,4.4,143,284,36,2,3,1,0,5,110,13,10.6,
2019,Sam Hubbard,24,CIN,RDE,15,15,0,7,5,71.4,41,8.2,5.9,0,86,3,7,34,3,7,3,1,8.5,19,76,5,6.2,
2019,Haason Reddick,25,ARI,LILB,16,5,0,56,42,75,345,8.2,6.2,6,126,4.9,124,221,90,3,3,2,1,7,76,11,12.6,
2019,Danny Trevathan,29,CHI,LILB,9,9,0,32,28,87.5,280,10,8.8,1,113.5,2.6,61,219,34,1,3,1,1,5,70,3,4.1,
2019,Mike Hilton,25,PIT,DB,16,8,1,55,30,54.5,352,11.7,6.4,3,84.8,8.4,229,123,54,2,3,1,1.5,7,65,4,5.8,
2019,Patrick Onwuasor,27,BAL,LILB,14,6,0,34,30,88.2,424,14.1,12.5,0,118.6,5.2,141,283,63,3,3,0,3,9,64,6,8.6,
2019,Jarrad Davis,25,DET,MLB,11,11,0,37,29,78.4,363,12.5,9.8,1,116.6,7,186,177,32,6,3,0,2,11,63,10,13.7,
2019,Sheldon Richardson,29,CLE,RDT,16,15,0,2,2,100,19,9.5,9.5,0,106.2,-8,-16,35,2,5,3,4,3,11,62,12,16.2,
2019,Danny Shelton,26,NWE,LDT,16,14,0,0,0,,0,,,0,,,0,0,0,3,3,0,3,9,61,3,4.7,
2019,Dante Fowler,25,LAR,LOLB,16,14,0,9,4,44.4,36,9,4,0,55.8,2.3,-14,50,48,19,3,4,11.5,35,58,8,12.1,
2019,Johnathan Hankins,27,OAK,RDT,16,16,0,1,1,100,1,1,1,0,79.2,0,0,1,0,6,3,1,1.5,11,50,8,13.8,
2019,Ed Oliver,22,BUF,RDT,16,7,0,1,1,100,8,8,8,0,100,4,4,4,0,4,3,2,5,12,43,3,6.5,
2019,Nick Williams,29,CHI,LDE,16,5,0,2,2,100,8,4,4,0,83.3,-0.5,-1,9,0,3,3,2,6,12,42,0,0,
2019,D.J. Hayden,29,JAX,DB,15,8,0,49,32,65.3,298,9.3,6.1,0,81.8,5.1,106,192,33,1,3,0,2,6,41,6,12.8,
2019,Terrell Suggs,37,2TM,ROLB,15,13,0,3,3,100,58,19.3,19.3,0,118.7,3.3,10,48,86,6,3,0,6.5,17,40,8,16.7,
2019,Corey Peters,31,ARI,NT,16,16,0,0,0,,0,,,0,,,0,0,0,5,3,0,2.5,11,38,7,15.6,
2019,Cassius Marsh,27,ARI,DE,16,3,0,7,7,100,73,10.4,10.4,0,110.1,-0.6,-4,77,55,5,3,1,2.5,11,36,4,10,
2019,Steve McLendon,33,NYJ,LDT,16,16,0,2,2,100,39,19.5,19.5,1,158.3,-5,-10,49,0,4,3,0,2.5,10,36,2,5.3,
2019,Mario Addison,32,CAR,LOLB,15,15,0,3,2,66.7,19,9.5,6.3,0,84,7.7,13,6,4,8,3,0,9.5,22,34,1,2.9,
2019,Brandon Williams,30,BAL,LDE,14,14,0,0,0,,0,,,0,,,0,0,0,0,3,0,1,4,34,1,2.9,
2019,Quinnen Williams,22,NYJ,RDT,13,9,0,0,0,,0,,,0,,,0,0,0,5,3,1,2.5,11,28,3,9.7,
2019,Malik Reed,23,DEN,LOLB,15,8,0,6,4,66.7,32,8,5.3,0,79.9,3.2,-6,38,38,6,3,0,2,9,27,2,6.9,
2019,Chase Winovich,24,NWE,LB,16,0,0,2,2,100,17,8.5,8.5,0,102.1,-2,-4,21,6,9,3,0,5.5,19,26,2,7.1,
2019,Oshane Ximines,23,NYG,DE,16,2,0,2,1,50,14,14,7,1,112.5,0.5,-3,17,28,2,3,1,4.5,12,25,0,0,
2019,Terrence Brooks,27,NWE,DB,15,0,1,18,11,61.1,112,10.2,6.2,0,55.8,5.6,75,37,13,0,3,0,0,3,24,1,4,
2019,Jack Crawford,31,ATL,DE,16,4,0,5,3,60,15,5,3,0,64.6,4,14,1,0,5,3,1,0.5,9,24,1,4,
2019,Efe Obada,27,CAR,DE,16,0,0,0,0,,0,,,0,,,0,0,0,3,3,1,0,6,24,1,4,
2019,Pernell McPhee,31,BAL,LOLB,7,7,0,3,3,100,17,5.7,5.7,0,90.3,0.7,2,15,43,3,3,1,3,9,19,0,0,
