YEAR,Player,Team,Conf,G,Rec,RecYds,YperR,RecTD,RecYperG,RusAtt,RusYds,YperA,RusTD,RusYperG,Plays,Yds,Avg,TD,Awards
2024,DT Sheffield,North Texas,American,12,66,822,12.5,11,68.5,4,86,21.5,1,7.2,70,908,13,12,
2024,Kamdyn Benjamin,Tulsa,American,12,70,822,11.7,6,68.5,5,20,4,0,1.7,75,842,11.2,6,
2024,Isiah Paige,Old Dominion,Sun Belt,12,61,819,13.4,3,68.3,4,5,1.3,0,0.4,65,824,12.7,3,
2024,Javon Tracy,Miami (OH),MAC,13,57,818,14.4,7,62.9,0,0,,0,0,57,818,14.4,7,
2024,Arian Smith,Georgia,SEC,14,48,817,17,4,58.4,5,54,10.8,0,3.9,53,871,16.4,4,
2024,Reginald Virgil,Miami (OH),MAC,13,41,816,19.9,9,62.8,0,0,,0,0,41,816,19.9,9,
2024,Konata Mumpfield,Pitt,ACC,12,52,813,15.6,5,67.8,0,0,,0,0,52,813,15.6,5,
2024,Malachi Fields,Virginia,ACC,12,55,808,14.7,5,67.3,0,0,,0,0,55,808,14.7,5,
2024,Jaden Williams,Texas State,Sun Belt,13,57,807,14.2,7,62.1,1,9,9,0,0.7,58,816,14.1,7,
2024,Elijhah Badger,Florida,SEC,12,39,806,20.7,4,67.2,0,0,,0,0,39,806,20.7,4,
2024,Cam Vaughn,Jacksonville State,CUSA,14,48,803,16.7,5,57.4,0,0,,0,0,48,803,16.7,5,
2024,Anthony Smith,East Carolina,American,13,41,799,19.5,6,61.5,0,0,,0,0,41,799,19.5,6,
2024,Eli Pancol,Duke,ACC,13,60,798,13.3,9,61.4,0,0,,0,0,60,798,13.3,9,
2024,O'Mega Blake,Charlotte,American,12,32,795,24.8,9,66.3,2,7,3.5,0,0.6,34,802,23.6,9,
2024,Germie Bernard,Alabama,SEC,13,50,794,15.9,2,61.1,4,37,9.3,1,2.8,54,831,15.4,3,
2024,Easton Messer,Western Kentucky,CUSA,14,55,793,14.4,4,56.6,9,37,4.1,0,2.6,64,830,13,4,
2024,Dante Wright,Temple,American,9,61,792,13,6,88,5,17,3.4,0,1.9,66,809,12.3,6,
2024,Gunnar Helm,Texas,SEC,16,60,786,13.1,7,49.1,0,0,,0,0,60,786,13.1,7,
2024,Chimere Dike,Florida,SEC,13,42,783,18.6,2,60.2,0,0,,0,0,42,783,18.6,2,
2024,Matt Sykes,Rice,American,12,65,782,12,5,65.2,2,-4,-2,0,-0.3,67,778,11.6,5,
2024,Sean Atkins,South Florida,American,13,79,781,9.9,2,60.1,1,14,14,0,1.1,80,795,9.9,2,
2024,Kobe Hudson,UCF,Big 12,12,47,770,16.4,4,64.2,0,0,,0,0,47,770,16.4,4,
2024,Brennan Presley,Oklahoma State,Big 12,12,90,767,8.5,7,63.9,7,56,8,1,4.7,97,823,8.5,8,
2024,Makai Lemon,USC,Big Ten,12,52,764,14.7,3,63.7,0,0,,0,0,52,764,14.7,3,
2024,Eric McAlister,Texas Christian,Big 12,13,39,762,19.5,5,58.6,0,0,,0,0,39,762,19.5,5,
2024,Dymere Miller,Rutgers,Big Ten,13,59,757,12.8,4,58.2,0,0,,0,0,59,757,12.8,4,
2024,Taylor Morin,Wake Forest,ACC,12,64,756,11.8,2,63,1,9,9,0,0.8,65,765,11.8,2,
2024,Damon Ward,North Texas,American,10,41,755,18.4,4,75.5,0,0,,0,0,41,755,18.4,4,
2024,Eric Singleton Jr.,Georgia Tech,ACC,12,56,754,13.5,3,62.8,21,131,6.2,1,10.9,77,885,11.5,4,
2024,Josh Cameron,Baylor,Big 12,13,52,754,14.5,10,58,0,0,,0,0,52,754,14.5,10,
2024,Jacolby George,Miami (FL),ACC,13,53,752,14.2,8,57.8,2,-8,-4,0,-0.6,55,744,13.5,8,
2024,Ryan Davis,New Mexico,MWC,12,54,747,13.8,3,62.3,0,0,,0,0,54,747,13.8,3,
2024,Makai Jackson,Appalachian State,Sun Belt,11,46,745,16.2,5,67.7,5,90,18,1,8.2,51,835,16.4,6,
2024,Hudson Clement,West Virginia,Big 12,12,51,741,14.5,5,61.8,0,0,,0,0,51,741,14.5,5,
2024,Kenny Odom,UTEP,CUSA,12,46,741,16.1,8,61.8,4,-10,-2.5,0,-0.8,50,731,14.6,8,
2024,Xzavier Henderson,Cincinnati,Big 12,12,59,738,12.5,4,61.5,0,0,,0,0,59,738,12.5,4,
2024,Chris Bell,Louisville,ACC,13,43,737,17.1,4,56.7,2,43,21.5,0,3.3,45,780,17.3,4,
2024,Carnell Tate,Ohio State,Big Ten,15,52,733,14.1,4,48.9,0,6,,0,0.4,52,739,14.2,4,
2024,John Paul Richardson,Texas Christian,Big 12,13,57,733,12.9,2,56.4,1,3,3,0,0.2,58,736,12.7,2,
2024,Cortez Braham,Nevada,MWC,13,56,724,12.9,4,55.7,1,1,1,0,0.1,57,725,12.7,4,
2024,Nicholas Cenacle,Hawaii,MWC,12,63,721,11.4,6,60.1,0,0,,0,0,63,721,11.4,6,
2024,Harrison Wallace III,Penn State,Big Ten,15,46,720,15.7,4,48,0,0,,0,0,46,720,15.7,4,
2024,Traeshon Holden,Oregon,Big Ten,13,45,718,16,5,55.2,2,22,11,0,1.7,47,740,15.7,5,
2024,Dane Key,Kentucky,SEC,12,47,715,15.2,2,59.6,0,0,,0,0,47,715,15.2,2,
2024,Bryant Wesco Jr.,Clemson,ACC,12,41,708,17.3,5,59,0,0,,0,0,41,708,17.3,5,
2024,Chrishon McCray,Kent State,MAC,11,40,705,17.6,9,64.1,3,20,6.7,0,1.8,43,725,16.9,9,
2024,Darius Lassiter,BYU,Big 12,12,45,703,15.6,4,58.6,1,0,0,0,0,46,703,15.3,4,
2024,Dorian Singer,Utah,Big 12,12,53,702,13.2,1,58.5,0,0,,0,0,53,702,13.2,1,
2024,Malik Rutherford,Georgia Tech,ACC,13,62,702,11.3,3,54,9,87,9.7,0,6.7,71,789,11.1,3,
2024,Luke Floriea,Kent State,MAC,12,44,699,15.9,7,58.3,1,17,17,0,1.4,45,716,15.9,7,
2024,Luke Grimm,Kansas,Big 12,12,51,690,13.5,6,57.5,11,135,12.3,1,11.3,62,825,13.3,7,
2024,Lewis Bond,Boston College,ACC,13,67,689,10.3,3,53,3,4,1.3,0,0.3,70,693,9.9,3,
2024,Terrance Carter,Louisiana,Sun Belt,13,48,689,14.4,4,53,0,0,,0,0,48,689,14.4,4,
2024,Dean Patterson,Florida International,CUSA,12,50,685,13.7,7,57.1,5,24,4.8,2,2,55,709,12.9,9,
2024,Max Klare,Purdue,Big Ten,12,51,685,13.4,4,57.1,0,0,,0,0,51,685,13.4,4,
2024,Elijah Spencer,Minnesota,Big Ten,13,52,684,13.2,6,52.6,0,0,,0,0,52,684,13.2,6,
